ID,language,title,abstract,lowerCorner,upperCorner,link,download,protocol,source,subject
||csr:loc_aglomerado_rural_isolado_p||,||pt||,||Aglomerados Rurais Isolados(csr:loc_aglomerado_rural_isolado_p)||,||Pontos referentes aos Aglomerados Rurais Isolados.||,||-87.36974287383258 -47.73650589352353||,||-21.068951217445314 18.564285762863715||,||||,||http://siscom.ibama.gov.br/geoserver/wfs?request=GetFeature__service=wfs__acceptFormats=application%2Fxml__typename=csr:loc_aglomerado_rural_isolado_p||,||WFS||,||IBAMA||,||loc_aglomerado_rural_isolado_p,features||
||csr:loc_hab_indigena_p||,||pt||,||Aldeias Indígenas(csr:loc_hab_indigena_p)||,||Pontos referentes as Aldeias Indígenas.||,||-75.85675564513234 -28.20165911399241||,||-34.86453875794389 12.790557773196033||,||||,||http://siscom.ibama.gov.br/geoserver/wfs?request=GetFeature__service=wfs__acceptFormats=application%2Fxml__typename=csr:loc_hab_indigena_p||,||WFS||,||IBAMA||,||features,loc_hab_indigena_p||
||csr:Auto_De_Infracao_old||,||pt||,||Auto de Infração do IBAMA(csr:Auto_De_Infracao_old)||,||Pontos referentes aos Autos de Infração do IBAMA.||,||-96.77304077148439 -48.8303871145439||,||-2.9929642677307102 28.73669052044421||,||||,||http://siscom.ibama.gov.br/geoserver/wfs?request=GetFeature__service=wfs__acceptFormats=application%2Fxml__typename=csr:Auto_De_Infracao_old||,||WFS||,||IBAMA||,||features,auto_infracao||
||csr:vw_veg_bioma_a||,||pt||,||Biomas do Brasil(csr:vw_veg_bioma_a)||,||Polígonos referentes aos Biomas do Brasil.||,||-75.59395249031904 -35.44427697896913||,||-33.20894982768077 6.940725683669144||,||||,||http://siscom.ibama.gov.br/geoserver/wfs?request=GetFeature__service=wfs__acceptFormats=application%2Fxml__typename=csr:vw_veg_bioma_a||,||WFS||,||IBAMA||,||features,bioma||
||csr:loc_capital_p||,||pt||,||Capitais(csr:loc_capital_p)||,||||,||-68.79810365120548 -31.0812188310307||,||-33.8538531675497 3.8630316526250845||,||||,||http://siscom.ibama.gov.br/geoserver/wfs?request=GetFeature__service=wfs__acceptFormats=application%2Fxml__typename=csr:loc_capital_p||,||WFS||,||IBAMA||,||features,loc_capital_p||
||csr:loc_cidade_p||,||pt||,||Cidades(csr:loc_cidade_p)||,||Pontos referentes as Cidades.||,||-73.9615661846757 -37.31113741234187||,||-28.939423347794975 7.711005424538869||,||||,||http://siscom.ibama.gov.br/geoserver/wfs?request=GetFeature__service=wfs__acceptFormats=application%2Fxml__typename=csr:loc_cidade_p||,||WFS||,||IBAMA||,||loc_cidade_p,features||
||csr:rel_duna_a||,||pt||,||Dunas(csr:rel_duna_a)||,||Polígonos referentes as Dunas.||,||-59.45155083854516 -33.16770219477605||,||-28.161318424150135 -1.8774697803810203||,||||,||http://siscom.ibama.gov.br/geoserver/wfs?request=GetFeature__service=wfs__acceptFormats=application%2Fxml__typename=csr:rel_duna_a||,||WFS||,||IBAMA||,||features,rel_duna_a||
||csr:adm_edif_pub_civil_p||,||pt||,||Edificações Públicas Civis.(csr:adm_edif_pub_civil_p)||,||Pontos referentes as Edificações Públicas Civis.||,||-72.28526215024462 -34.09681348235647||,||-33.30606170229449 4.8823869655936445||,||||,||http://siscom.ibama.gov.br/geoserver/wfs?request=GetFeature__service=wfs__acceptFormats=application%2Fxml__typename=csr:adm_edif_pub_civil_p||,||WFS||,||IBAMA||,||features,adm_edif_pub_civil_p||
||csr:img_grade_cbers_ccd_a||,||pt||,||Grade CBERS CCD(csr:img_grade_cbers_ccd_a)||,||Poligono referente a Grade cbers_ccd.||,||-75.1329711914063 -36.25628128017586||,||-31.190606689453105 7.686083221777321||,||||,||http://siscom.ibama.gov.br/geoserver/wfs?request=GetFeature__service=wfs__acceptFormats=application%2Fxml__typename=csr:img_grade_cbers_ccd_a||,||WFS||,||IBAMA||,||features,img_grade_cbers_ccd_a||
||csr:img_grade_cbers_hrc_a||,||pt||,||Grade CBERS HRC(csr:img_grade_cbers_hrc_a)||,||Polígono referente a Grade cbers_hrc.||,||-75.1329711914063 -36.25628128017586||,||-31.190606689453105 7.686083221777321||,||||,||http://siscom.ibama.gov.br/geoserver/wfs?request=GetFeature__service=wfs__acceptFormats=application%2Fxml__typename=csr:img_grade_cbers_hrc_a||,||WFS||,||IBAMA||,||features,img_grade_cbers_hrc_a||
||csr:img_grade_landsat_etm_a||,||pt||,||Grade Landsat(csr:img_grade_landsat_etm_a)||,||Polígono referente a Grade landsat_etm.||,||-76.26833403434755 -37.05872237973088||,||-30.995171901321463 8.214439753295201||,||||,||http://siscom.ibama.gov.br/geoserver/wfs?request=GetFeature__service=wfs__acceptFormats=application%2Fxml__typename=csr:img_grade_landsat_etm_a||,||WFS||,||IBAMA||,||features,img_grade_landsat_etm_a||
||csr:img_grade_rapid_eye_a||,||pt||,||Grade Rapid Eye(csr:img_grade_rapid_eye_a)||,||Polígono referente a Grade Rapid Eye.||,||-74.76610012054445 -35.72232933009881||,||-31.71595935821536 7.3278114322302805||,||||,||http://siscom.ibama.gov.br/geoserver/wfs?request=GetFeature__service=wfs__acceptFormats=application%2Fxml__typename=csr:img_grade_rapid_eye_a||,||WFS||,||IBAMA||,||features,img_grade_rapid_eye_a||
||csr:veg_mangue_a||,||pt||,||Mangues(csr:veg_mangue_a)||,||Polígonos referentes aos Mangues.||,||-62.45812269818591 -30.920500484505553||,||-24.118342908503603 7.419279305176748||,||||,||http://siscom.ibama.gov.br/geoserver/wfs?request=GetFeature__service=wfs__acceptFormats=application%2Fxml__typename=csr:veg_mangue_a||,||WFS||,||IBAMA||,||features,veg_mangue_a||
||csr:veg_brejo_pantano_a||,||pt||,||Marisma(csr:veg_brejo_pantano_a)||,||Marisma||,||-53.73973510640458 -32.50199458894305||,||-47.064635773722316 -25.826895256260784||,||||,||http://siscom.ibama.gov.br/geoserver/wfs?request=GetFeature__service=wfs__acceptFormats=application%2Fxml__typename=csr:veg_brejo_pantano_a||,||WFS||,||IBAMA||,||features,veg_brejo_pantano_a||
||csr:tra_ponto_rodoviario_p||,||pt||,||Pontes e Tuneis(csr:tra_ponto_rodoviario_p)||,||SVGs referentes as Pontes e Tuneis.||,||-62.70401982670823 -33.85023164170356||,||-31.676628835291567 -2.822840650286894||,||||,||http://siscom.ibama.gov.br/geoserver/wfs?request=GetFeature__service=wfs__acceptFormats=application%2Fxml__typename=csr:tra_ponto_rodoviario_p||,||WFS||,||IBAMA||,||features,tra_ponto_rodoviario_p||
||csr:rel_elemento_fisiog_natural_p||,||pt||,||Praias_Localidades(csr:rel_elemento_fisiog_natural_p)||,||Praias_Localidades||,||-68.44329882090778 -34.973521951736465||,||-27.585969443862705 5.883807425308618||,||||,||http://siscom.ibama.gov.br/geoserver/wfs?request=GetFeature__service=wfs__acceptFormats=application%2Fxml__typename=csr:rel_elemento_fisiog_natural_p||,||WFS||,||IBAMA||,||features,rel_elemento_fisiog_natural_p||
||csr:veg_veg_restinga_a||,||pt||,||Restinga(csr:veg_veg_restinga_a)||,||Polígonos referentes a Restinga.||,||-56.60921091280197 -30.269937101969813||,||-28.298206384561226 -1.958932573729067||,||||,||http://siscom.ibama.gov.br/geoserver/wfs?request=GetFeature__service=wfs__acceptFormats=application%2Fxml__typename=csr:veg_veg_restinga_a||,||WFS||,||IBAMA||,||features,veg_veg_restinga_a||
||csr:lim_terra_indigena_a||,||pt||,||Terras Indígenas(csr:lim_terra_indigena_a)||,||Polígonos referentes as Terras Indígenas||,||-76.77759341627083 -39.39270437447809||,||-25.653991895618756 11.73089714617398||,||||,||http://siscom.ibama.gov.br/geoserver/wfs?request=GetFeature__service=wfs__acceptFormats=application%2Fxml__typename=csr:lim_terra_indigena_a||,||WFS||,||IBAMA||,||features,lim_terra_indigena_a||
||csr:lim_unidade_federacao_a||,||pt||,||Unidades da Federação(csr:lim_unidade_federacao_a)||,||Polígonos referentes as Unidades de Federação.||,||-83.98154324181033 -46.80848353954311||,||-18.84481555335576 18.32824414891144||,||||,||http://siscom.ibama.gov.br/geoserver/wfs?request=GetFeature__service=wfs__acceptFormats=application%2Fxml__typename=csr:lim_unidade_federacao_a||,||WFS||,||IBAMA||,||features,lim_unidade_federacao_a||
||csr:lim_unidade_protecao_integral_a||,||pt||,||Unidades de Proteção Integral(csr:lim_unidade_protecao_integral_a)||,||Polígonos referentes as Unidades de Proteção Integral.||,||-78.12314353010574 -41.42802677139333||,||-24.30844178178383 12.386674976928585||,||||,||http://siscom.ibama.gov.br/geoserver/wfs?request=GetFeature__service=wfs__acceptFormats=application%2Fxml__typename=csr:lim_unidade_protecao_integral_a||,||WFS||,||IBAMA||,||features,lim_unidade_protecao_integral_a||
||csr:lim_unidade_uso_sustentavel_a||,||pt||,||Unidades de Uso Sustentável(csr:lim_unidade_uso_sustentavel_a)||,||Polígonos referentes as Unidade de Uso Sustentável.||,||-76.0740256875289 -39.378908928816486||,||-26.357559624360672 10.337557134351751||,||||,||http://siscom.ibama.gov.br/geoserver/wfs?request=GetFeature__service=wfs__acceptFormats=application%2Fxml__typename=csr:lim_unidade_uso_sustentavel_a||,||WFS||,||IBAMA||,||lim_unidade_uso_sustentavel_a,features||
||csr:loc_vila_p||,||pt||,||Vilas(csr:loc_vila_p)||,||Pontos referentes as Vilas.||,||-79.54077328556828 -36.207085502973094||,||-33.26354418879702 10.070143593798162||,||||,||http://siscom.ibama.gov.br/geoserver/wfs?request=GetFeature__service=wfs__acceptFormats=application%2Fxml__typename=csr:loc_vila_p||,||WFS||,||IBAMA||,||features,loc_vila_p||
||csr:eco_area_ext_mineral_a||,||pt||,||eco_area_ext_mineral_a(csr:eco_area_ext_mineral_a)||,||Polígonos referentes aos eco_area_ext_mineral_a||,||-72.9583201383793 -36.08332228380735||,||-28.291676046923403 8.583321807648556||,||||,||http://siscom.ibama.gov.br/geoserver/wfs?request=GetFeature__service=wfs__acceptFormats=application%2Fxml__typename=csr:eco_area_ext_mineral_a||,||WFS||,||IBAMA||,||features,eco_area_ext_mineral_a||
||csr:eco_edif_industrial_p||,||pt||,||eco_edif_industrial_p(csr:eco_edif_industrial_p)||,||||,||-64.0756589814159 -32.463384930229154||,||-34.2809465483693 -2.66867249718255||,||||,||http://siscom.ibama.gov.br/geoserver/wfs?request=GetFeature__service=wfs__acceptFormats=application%2Fxml__typename=csr:eco_edif_industrial_p||,||WFS||,||IBAMA||,||features,eco_edif_industrial_p||
||csr:hid_area_umida_a||,||pt||,||hid_area_umida_a(csr:hid_area_umida_a)||,||Polígonos referentes ao Banhado.||,||-67.55793417563008 -34.12098277642195||,||-28.113078702787924 5.323872696420208||,||||,||http://siscom.ibama.gov.br/geoserver/wfs?request=GetFeature__service=wfs__acceptFormats=application%2Fxml__typename=csr:hid_area_umida_a||,||WFS||,||IBAMA||,||features,hid_area_umida_a||
